project_name,kind,station_name,lawd_cd,lat,lon,status,status_date,expected_open_ym,opened_ym,source_name,source_url,last_verified,note
신분당선,지하철,신사,,37.5161253,127.0197609,운영중,,,,전국도시철도역사정보표준데이터 (2026-06-30 기준),https://www.data.go.kr/data/15013205/standard.do,2026-09-03,서울특별시 강남구 강남대로 620-2 · 경기도 신분당선 · 개통월은 자료에 없음
신분당선,지하철,논현,,37.5111154,127.0213658,운영중,,,,전국도시철도역사정보표준데이터 (2026-06-30 기준),https://www.data.go.kr/data/15013205/standard.do,2026-09-03,서울특별시 강남구 강남대로 492-2 · 경기도 신분당선 · 개통월은 자료에 없음
신분당선,지하철,신논현,,37.5045554,127.0245306,운영중,,,,전국도시철도역사정보표준데이터 (2026-06-30 기준),https://www.data.go.kr/data/15013205/standard.do,2026-09-03,서울특별시 강남구 강남대로 302-2 · 경기도 신분당선 · 개통월은 자료에 없음
신분당선,지하철,강남,,37.4973854,127.0278789,운영중,,,,전국도시철도역사정보표준데이터 (2026-06-30 기준),https://www.data.go.kr/data/15013205/standard.do,2026-09-03,서울특별시 강남구 강남대로 지하 396 · 경기도 신분당선 · 개통월은 자료에 없음
신분당선,지하철,양재(서초구청),,37.4844535,127.0340995,운영중,,,,전국도시철도역사정보표준데이터 (2026-06-30 기준),https://www.data.go.kr/data/15013205/standard.do,2026-09-03,서울시 서초구 남부순환로 지하 2585 · 경기도 신분당선 · 개통월은 자료에 없음
신분당선,지하철,양재시민의숲(매헌),,37.4709639,127.0384203,운영중,,,,전국도시철도역사정보표준데이터 (2026-06-30 기준),https://www.data.go.kr/data/15013205/standard.do,2026-09-03,서울특별시 서초구 매헌로 지하 116 · 경기도 신분당선 · 개통월은 자료에 없음
신분당선,지하철,청계산입구,,37.4487148,127.0543396,운영중,,,,전국도시철도역사정보표준데이터 (2026-06-30 기준),https://www.data.go.kr/data/15013205/standard.do,2026-09-03,서울특별시 서초구 청계산로 지하 179 · 경기도 신분당선 · 개통월은 자료에 없음
신분당선,지하철,판교,,37.3957148,127.1112107,운영중,,,,전국도시철도역사정보표준데이터 (2026-06-30 기준),https://www.data.go.kr/data/15013205/standard.do,2026-09-03,경기도 성남시 분당구 판교역로 지하 160 · 경기도 신분당선 · 개통월은 자료에 없음
신분당선,지하철,정자,,37.3682102,127.1083859,운영중,,,,전국도시철도역사정보표준데이터 (2026-06-30 기준),https://www.data.go.kr/data/15013205/standard.do,2026-09-03,경기도 성남시 분당구 성남대로 지하 333 · 경기도 신분당선 · 개통월은 자료에 없음
신분당선,지하철,미금,,37.3511833,127.1089028,운영중,,,,전국도시철도역사정보표준데이터 (2026-06-30 기준),https://www.data.go.kr/data/15013205/standard.do,2026-09-03,경기도 성남시 성남대로 지하 163 (금곡동) · 경기도 신분당선 · 개통월은 자료에 없음
신분당선,지하철,동천,,37.3386841,127.1027937,운영중,,,,전국도시철도역사정보표준데이터 (2026-06-30 기준),https://www.data.go.kr/data/15013205/standard.do,2026-09-03,경기도 용인시 수지구 신수로 지하760 · 경기도 신분당선 · 개통월은 자료에 없음
신분당선,지하철,수지구청,,37.323009,127.0955813,운영중,,,,전국도시철도역사정보표준데이터 (2026-06-30 기준),https://www.data.go.kr/data/15013205/standard.do,2026-09-03,경기도 용인시 수지구 풍덕천로 지하120 · 경기도 신분당선 · 개통월은 자료에 없음
신분당선,지하철,성복,,37.3140425,127.0807578,운영중,,,,전국도시철도역사정보표준데이터 (2026-06-30 기준),https://www.data.go.kr/data/15013205/standard.do,2026-09-03,경기도 용인시 수지구 수지로 지하134 · 경기도 신분당선 · 개통월은 자료에 없음
신분당선,지하철,상현,,37.2986853,127.0695799,운영중,,,,전국도시철도역사정보표준데이터 (2026-06-30 기준),https://www.data.go.kr/data/15013205/standard.do,2026-09-03,경기도 용인시 수지구 광교중앙로 지하312 · 경기도 신분당선 · 개통월은 자료에 없음
신분당선,지하철,광교중앙(아주대),,37.2877375,127.052625,운영중,,,,전국도시철도역사정보표준데이터 (2026-06-30 기준),https://www.data.go.kr/data/15013205/standard.do,2026-09-03,경기도 수원시 영통구 도청로 지하45 · 경기도 신분당선 · 개통월은 자료에 없음
신분당선,지하철,광교(경기대),,37.3017347,127.0448561,운영중,,,,전국도시철도역사정보표준데이터 (2026-06-30 기준),https://www.data.go.kr/data/15013205/standard.do,2026-09-03,경기도 수원시 영통구 대학로 55 신분당선 광교역 · 경기도 신분당선 · 개통월은 자료에 없음
에버라인,지하철,기흥(백남준아트센터),,37.2754529,127.1170465,운영중,,,,전국도시철도역사정보표준데이터 (2026-06-30 기준),https://www.data.go.kr/data/15013205/standard.do,2026-09-03,경기도 용인시 기흥구 중부대로 460 · 경기도 용인경전철 · 개통월은 자료에 없음
