cost_kind,rule_key,region,conditions_json,price_min,price_max,rate,max_amount,fixed_amount,vat_applicable,effective_from,effective_to,source_name,source_url,last_verified,status,verification,note
중개보수,brok/매매/5천만원미만/~2021,서울,{},0,50000000,0.006,250000,,1,2015-04-14,2021-10-18,서울특별시 주택 중개보수 등에 관한 조례 [2021-10-19 개정 전],https://www.seoul.go.kr/story/realestate/realestate_02.jsp,2026-09-03,ENACTED,ESTIMATED,"매매 상한요율 0.6% (한도 250,000원) · 2차 자료(국토교통부 개정 보도·생활법령) 기준. 각 시·도 조례 원문 대조 필요"
중개보수,brok/매매/5천~2억/~2021,서울,{},50000000,200000000,0.005,800000,,1,2015-04-14,2021-10-18,서울특별시 주택 중개보수 등에 관한 조례 [2021-10-19 개정 전],https://www.seoul.go.kr/story/realestate/realestate_02.jsp,2026-09-03,ENACTED,ESTIMATED,"매매 상한요율 0.5% (한도 800,000원) · 2차 자료(국토교통부 개정 보도·생활법령) 기준. 각 시·도 조례 원문 대조 필요"
중개보수,brok/매매/2억~6억/~2021,서울,{},200000000,600000000,0.004,,,1,2015-04-14,2021-10-18,서울특별시 주택 중개보수 등에 관한 조례 [2021-10-19 개정 전],https://www.seoul.go.kr/story/realestate/realestate_02.jsp,2026-09-03,ENACTED,ESTIMATED,매매 상한요율 0.4% · 2차 자료(국토교통부 개정 보도·생활법령) 기준. 각 시·도 조례 원문 대조 필요
중개보수,brok/매매/6억~9억/~2021,서울,{},600000000,900000000,0.005,,,1,2015-04-14,2021-10-18,서울특별시 주택 중개보수 등에 관한 조례 [2021-10-19 개정 전],https://www.seoul.go.kr/story/realestate/realestate_02.jsp,2026-09-03,ENACTED,ESTIMATED,매매 상한요율 0.5% · 2차 자료(국토교통부 개정 보도·생활법령) 기준. 각 시·도 조례 원문 대조 필요
중개보수,brok/매매/9억이상/~2021,서울,{},900000000,,0.009,,,1,2015-04-14,2021-10-18,서울특별시 주택 중개보수 등에 관한 조례 [2021-10-19 개정 전],https://www.seoul.go.kr/story/realestate/realestate_02.jsp,2026-09-03,ENACTED,ESTIMATED,매매 상한요율 0.9% · 2차 자료(국토교통부 개정 보도·생활법령) 기준. 각 시·도 조례 원문 대조 필요
중개보수,brok/매매/5천만원미만,서울,{},0,50000000,0.006,250000,,1,2021-10-19,,서울특별시 주택 중개보수 등에 관한 조례,https://www.seoul.go.kr/story/realestate/realestate_02.jsp,2026-09-03,ENACTED,ESTIMATED,"매매 상한요율 0.6% (한도 250,000원) · 2차 자료(국토교통부 개정 보도·생활법령) 기준. 각 시·도 조례 원문 대조 필요"
중개보수,brok/매매/5천~2억,서울,{},50000000,200000000,0.005,800000,,1,2021-10-19,,서울특별시 주택 중개보수 등에 관한 조례,https://www.seoul.go.kr/story/realestate/realestate_02.jsp,2026-09-03,ENACTED,ESTIMATED,"매매 상한요율 0.5% (한도 800,000원) · 2차 자료(국토교통부 개정 보도·생활법령) 기준. 각 시·도 조례 원문 대조 필요"
중개보수,brok/매매/2억~9억,서울,{},200000000,900000000,0.004,,,1,2021-10-19,,서울특별시 주택 중개보수 등에 관한 조례,https://www.seoul.go.kr/story/realestate/realestate_02.jsp,2026-09-03,ENACTED,ESTIMATED,매매 상한요율 0.4% · 2차 자료(국토교통부 개정 보도·생활법령) 기준. 각 시·도 조례 원문 대조 필요
중개보수,brok/매매/9억~12억,서울,{},900000000,1200000000,0.005,,,1,2021-10-19,,서울특별시 주택 중개보수 등에 관한 조례,https://www.seoul.go.kr/story/realestate/realestate_02.jsp,2026-09-03,ENACTED,ESTIMATED,매매 상한요율 0.5% · 2차 자료(국토교통부 개정 보도·생활법령) 기준. 각 시·도 조례 원문 대조 필요
중개보수,brok/매매/12억~15억,서울,{},1200000000,1500000000,0.006,,,1,2021-10-19,,서울특별시 주택 중개보수 등에 관한 조례,https://www.seoul.go.kr/story/realestate/realestate_02.jsp,2026-09-03,ENACTED,ESTIMATED,매매 상한요율 0.6% · 2차 자료(국토교통부 개정 보도·생활법령) 기준. 각 시·도 조례 원문 대조 필요
