project_name,kind,station_name,lawd_cd,lat,lon,status,status_date,expected_open_ym,opened_ym,source_name,source_url,last_verified,note
GTX-B,GTX,인천대입구,,37.386239,126.639351,착공,2025-08-04,203012,,국토교통부 통합착공계 접수(2025-08-04) · 인천시 보도자료,https://www.incheon.go.kr/IC010205/view?repSeq=DOM_0000000012858612,2026-09-04,인천대입구 환승 · 72개월 공사 · 목표 개통 2030년
GTX-B,GTX,인천시청,,37.457615,126.702216,착공,2025-08-04,203012,,국토교통부 통합착공계 접수(2025-08-04) · 인천시 보도자료,https://www.incheon.go.kr/IC010205/view?repSeq=DOM_0000000012858612,2026-09-04,인천시청 환승 · 72개월 공사 · 목표 개통 2030년
GTX-B,GTX,부평,,37.490541,126.723437,착공,2025-08-04,203012,,국토교통부 통합착공계 접수(2025-08-04) · 인천시 보도자료,https://www.incheon.go.kr/IC010205/view?repSeq=DOM_0000000012858612,2026-09-04,부평 환승 · 72개월 공사 · 목표 개통 2030년
GTX-B,GTX,부천종합운동장,,37.505381,126.79735,착공,2025-08-04,203012,,국토교통부 통합착공계 접수(2025-08-04) · 인천시 보도자료,https://www.incheon.go.kr/IC010205/view?repSeq=DOM_0000000012858612,2026-09-04,부천종합운동장 환승 · 72개월 공사 · 목표 개통 2030년
GTX-B,GTX,신도림,,37.508815,126.891222,착공,2025-08-04,203012,,국토교통부 통합착공계 접수(2025-08-04) · 인천시 보도자료,https://www.incheon.go.kr/IC010205/view?repSeq=DOM_0000000012858612,2026-09-04,신도림 환승 · 72개월 공사 · 목표 개통 2030년
GTX-B,GTX,여의도,,37.521678,126.924318,착공,2025-08-04,203012,,국토교통부 통합착공계 접수(2025-08-04) · 인천시 보도자료,https://www.incheon.go.kr/IC010205/view?repSeq=DOM_0000000012858612,2026-09-04,여의도 환승 · 72개월 공사 · 목표 개통 2030년
GTX-B,GTX,용산,,37.52989,126.964775,착공,2025-08-04,203012,,국토교통부 통합착공계 접수(2025-08-04) · 인천시 보도자료,https://www.incheon.go.kr/IC010205/view?repSeq=DOM_0000000012858612,2026-09-04,용산역 환승 · 72개월 공사 · 목표 개통 2030년
GTX-B,GTX,서울역,,37.55585,126.972103,착공,2025-08-04,203012,,국토교통부 통합착공계 접수(2025-08-04) · 인천시 보도자료,https://www.incheon.go.kr/IC010205/view?repSeq=DOM_0000000012858612,2026-09-04,서울역 환승 · 72개월 공사 · 목표 개통 2030년
GTX-B,GTX,청량리,,37.580543,127.048077,착공,2025-08-04,203012,,국토교통부 통합착공계 접수(2025-08-04) · 인천시 보도자료,https://www.incheon.go.kr/IC010205/view?repSeq=DOM_0000000012858612,2026-09-04,청량리역 환승 · 72개월 공사 · 목표 개통 2030년
GTX-B,GTX,망우,,37.599288,127.092318,착공,2025-08-04,203012,,국토교통부 통합착공계 접수(2025-08-04) · 인천시 보도자료,https://www.incheon.go.kr/IC010205/view?repSeq=DOM_0000000012858612,2026-09-04,망우역 환승 · 72개월 공사 · 목표 개통 2030년
GTX-B,GTX,별내,41360,37.6659484,127.1177624,착공,2025-08-04,203012,,국토교통부 통합착공계 접수(2025-08-04) · 인천시 보도자료,https://www.incheon.go.kr/IC010205/view?repSeq=DOM_0000000012858612,2026-09-04,별내역 환승 · 72개월 공사 · 목표 개통 2030년
GTX-B,GTX,평내호평,,37.653229,127.244452,착공,2025-08-04,203012,,국토교통부 통합착공계 접수(2025-08-04) · 인천시 보도자료,https://www.incheon.go.kr/IC010205/view?repSeq=DOM_0000000012858612,2026-09-04,평내호평역 환승 · 72개월 공사 · 목표 개통 2030년
GTX-B,GTX,마석,,37.652328,127.311713,착공,2025-08-04,203012,,국토교통부 통합착공계 접수(2025-08-04) · 인천시 보도자료,https://www.incheon.go.kr/IC010205/view?repSeq=DOM_0000000012858612,2026-09-04,마석역 환승 · 72개월 공사 · 목표 개통 2030년
