tax_kind,rule_key,conditions_json,bracket_min,bracket_max,rate,progressive_deduction,fixed_amount,rate_formula,rate_decimals,max_amount,base_kind,effective_from,effective_to,source_name,source_url,last_verified,status,verification,note
# ─────────────────────────────────────────────────────────────────────────────
# 양도소득세·장기보유특별공제·지방소득세·재산세·공정시장가액비율 — 초안 (2026-09-04)
#
# 보유 vs 갈아타기(SWITCH_ALPHA) 계산에 이 다섯 가지가 없어서 엔진이 결론을 내지 못했다.
# 법령에서 옮겨 적었지만 **원문 대조는 아직이다.** last_verified 를 비워 두었으므로
# 엔진은 allow_unverified 없이는 이 행을 쓰지 않는다. 종인님이 원문을 확인하고
# `cli rule verify tax --id <id> --date YYYY-MM-DD` 로 표시하면 그때부터 '확정'으로 계산한다.
#
# 넣지 않은 것: 종합부동산세(기본공제 12억/9억을 빼는 구조를 holding.py 가 아직 지원하지
# 않음 → 코드 수정 후), 조정대상지역 다주택 중과세율(+20%p/+30%p — 부평구는 비조정이라
# 이번 계산엔 불필요, 2026-05-09 유예 종료 · 2027~28 한시 완화안은 확정 뒤 반영),
# 1세대1주택 비과세·장특공제 표2(실거주 요건 — 동아는 일시적 2주택 처분시점이 정해진 뒤).
# ─────────────────────────────────────────────────────────────────────────────
양도소득세,cg/기본공제,{},0,,,,2500000,,,,양도소득금액,2026-01-01,,소득세법 제103조(양도소득 기본공제 연 250만원),https://www.law.go.kr/법령/소득세법/제103조,,ENACTED,NEEDS_VERIFICATION,[초안 — 원문 대조 필요] 자산 종류별 연 250만원
양도소득세,cg/기본세율/1400만이하,{},0,14000000,0.06,0,,,,,과세표준,2026-01-01,,소득세법 제55조제1항·제104조제1항제1호 기본세율,https://www.law.go.kr/법령/소득세법/제55조,,ENACTED,NEEDS_VERIFICATION,[초안 — 원문 대조 필요]
