lawd_cd,emd_name,zone_type,effective_from,effective_to,source_name,source_url,last_verified,note
11110,,조정대상지역,2025-10-16,,국토교통부 「주택시장 안정화 대책」 규제지역 지정 (2025-10-15 발표),https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95091308,2026-09-03,"서울 종로구 · 10·15 대책 · 보도자료 기준, 관보 고시 대조 필요 · 보도자료 기준(ESTIMATED)"
11110,,투기과열지구,2025-10-16,,국토교통부 「주택시장 안정화 대책」 규제지역 지정 (2025-10-15 발표),https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95091308,2026-09-03,"서울 종로구 · 10·15 대책 · 보도자료 기준, 관보 고시 대조 필요 · 보도자료 기준(ESTIMATED)"
11140,,조정대상지역,2025-10-16,,국토교통부 「주택시장 안정화 대책」 규제지역 지정 (2025-10-15 발표),https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95091308,2026-09-03,"서울 중구 · 10·15 대책 · 보도자료 기준, 관보 고시 대조 필요 · 보도자료 기준(ESTIMATED)"
11140,,투기과열지구,2025-10-16,,국토교통부 「주택시장 안정화 대책」 규제지역 지정 (2025-10-15 발표),https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95091308,2026-09-03,"서울 중구 · 10·15 대책 · 보도자료 기준, 관보 고시 대조 필요 · 보도자료 기준(ESTIMATED)"
11170,,조정대상지역,2025-10-16,,국토교통부 「주택시장 안정화 대책」 규제지역 지정 (2025-10-15 발표),https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95091308,2026-09-03,"서울 용산구 · 10·15 대책 · 보도자료 기준, 관보 고시 대조 필요 · 보도자료 기준(ESTIMATED)"
11170,,투기과열지구,2025-10-16,,국토교통부 「주택시장 안정화 대책」 규제지역 지정 (2025-10-15 발표),https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95091308,2026-09-03,"서울 용산구 · 10·15 대책 · 보도자료 기준, 관보 고시 대조 필요 · 보도자료 기준(ESTIMATED)"
11200,,조정대상지역,2025-10-16,,국토교통부 「주택시장 안정화 대책」 규제지역 지정 (2025-10-15 발표),https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95091308,2026-09-03,"서울 성동구 · 10·15 대책 · 보도자료 기준, 관보 고시 대조 필요 · 보도자료 기준(ESTIMATED)"
11200,,투기과열지구,2025-10-16,,국토교통부 「주택시장 안정화 대책」 규제지역 지정 (2025-10-15 발표),https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95091308,2026-09-03,"서울 성동구 · 10·15 대책 · 보도자료 기준, 관보 고시 대조 필요 · 보도자료 기준(ESTIMATED)"
11215,,조정대상지역,2025-10-16,,국토교통부 「주택시장 안정화 대책」 규제지역 지정 (2025-10-15 발표),https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95091308,2026-09-03,"서울 광진구 · 10·15 대책 · 보도자료 기준, 관보 고시 대조 필요 · 보도자료 기준(ESTIMATED)"
11215,,투기과열지구,2025-10-16,,국토교통부 「주택시장 안정화 대책」 규제지역 지정 (2025-10-15 발표),https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95091308,2026-09-03,"서울 광진구 · 10·15 대책 · 보도자료 기준, 관보 고시 대조 필요 · 보도자료 기준(ESTIMATED)"
11230,,조정대상지역,2025-10-16,,국토교통부 「주택시장 안정화 대책」 규제지역 지정 (2025-10-15 발표),https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95091308,2026-09-03,"서울 동대문구 · 10·15 대책 · 보도자료 기준, 관보 고시 대조 필요 · 보도자료 기준(ESTIMATED)"
11230,,투기과열지구,2025-10-16,,국토교통부 「주택시장 안정화 대책」 규제지역 지정 (2025-10-15 발표),https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95091308,2026-09-03,"서울 동대문구 · 10·15 대책 · 보도자료 기준, 관보 고시 대조 필요 · 보도자료 기준(ESTIMATED)"
11260,,조정대상지역,2025-10-16,,국토교통부 「주택시장 안정화 대책」 규제지역 지정 (2025-10-15 발표),https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95091308,2026-09-03,"서울 중랑구 · 10·15 대책 · 보도자료 기준, 관보 고시 대조 필요 · 보도자료 기준(ESTIMATED)"
11260,,투기과열지구,2025-10-16,,국토교통부 「주택시장 안정화 대책」 규제지역 지정 (2025-10-15 발표),https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95091308,2026-09-03,"서울 중랑구 · 10·15 대책 · 보도자료 기준, 관보 고시 대조 필요 · 보도자료 기준(ESTIMATED)"
11290,,조정대상지역,2025-10-16,,국토교통부 「주택시장 안정화 대책」 규제지역 지정 (2025-10-15 발표),https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95091308,2026-09-03,"서울 성북구 · 10·15 대책 · 보도자료 기준, 관보 고시 대조 필요 · 보도자료 기준(ESTIMATED)"
11290,,투기과열지구,2025-10-16,,국토교통부 「주택시장 안정화 대책」 규제지역 지정 (2025-10-15 발표),https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95091308,2026-09-03,"서울 성북구 · 10·15 대책 · 보도자료 기준, 관보 고시 대조 필요 · 보도자료 기준(ESTIMATED)"
11305,,조정대상지역,2025-10-16,,국토교통부 「주택시장 안정화 대책」 규제지역 지정 (2025-10-15 발표),https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95091308,2026-09-03,"서울 강북구 · 10·15 대책 · 보도자료 기준, 관보 고시 대조 필요 · 보도자료 기준(ESTIMATED)"
11305,,투기과열지구,2025-10-16,,국토교통부 「주택시장 안정화 대책」 규제지역 지정 (2025-10-15 발표),https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95091308,2026-09-03,"서울 강북구 · 10·15 대책 · 보도자료 기준, 관보 고시 대조 필요 · 보도자료 기준(ESTIMATED)"
11320,,조정대상지역,2025-10-16,,국토교통부 「주택시장 안정화 대책」 규제지역 지정 (2025-10-15 발표),https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95091308,2026-09-03,"서울 도봉구 · 10·15 대책 · 보도자료 기준, 관보 고시 대조 필요 · 보도자료 기준(ESTIMATED)"
11320,,투기과열지구,2025-10-16,,국토교통부 「주택시장 안정화 대책」 규제지역 지정 (2025-10-15 발표),https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95091308,2026-09-03,"서울 도봉구 · 10·15 대책 · 보도자료 기준, 관보 고시 대조 필요 · 보도자료 기준(ESTIMATED)"
11350,,조정대상지역,2025-10-16,,국토교통부 「주택시장 안정화 대책」 규제지역 지정 (2025-10-15 발표),https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95091308,2026-09-03,"서울 노원구 · 10·15 대책 · 보도자료 기준, 관보 고시 대조 필요 · 보도자료 기준(ESTIMATED)"
11350,,투기과열지구,2025-10-16,,국토교통부 「주택시장 안정화 대책」 규제지역 지정 (2025-10-15 발표),https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95091308,2026-09-03,"서울 노원구 · 10·15 대책 · 보도자료 기준, 관보 고시 대조 필요 · 보도자료 기준(ESTIMATED)"
11380,,조정대상지역,2025-10-16,,국토교통부 「주택시장 안정화 대책」 규제지역 지정 (2025-10-15 발표),https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95091308,2026-09-03,"서울 은평구 · 10·15 대책 · 보도자료 기준, 관보 고시 대조 필요 · 보도자료 기준(ESTIMATED)"
11380,,투기과열지구,2025-10-16,,국토교통부 「주택시장 안정화 대책」 규제지역 지정 (2025-10-15 발표),https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95091308,2026-09-03,"서울 은평구 · 10·15 대책 · 보도자료 기준, 관보 고시 대조 필요 · 보도자료 기준(ESTIMATED)"
11410,,조정대상지역,2025-10-16,,국토교통부 「주택시장 안정화 대책」 규제지역 지정 (2025-10-15 발표),https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95091308,2026-09-03,"서울 서대문구 · 10·15 대책 · 보도자료 기준, 관보 고시 대조 필요 · 보도자료 기준(ESTIMATED)"
11410,,투기과열지구,2025-10-16,,국토교통부 「주택시장 안정화 대책」 규제지역 지정 (2025-10-15 발표),https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95091308,2026-09-03,"서울 서대문구 · 10·15 대책 · 보도자료 기준, 관보 고시 대조 필요 · 보도자료 기준(ESTIMATED)"
11440,,조정대상지역,2025-10-16,,국토교통부 「주택시장 안정화 대책」 규제지역 지정 (2025-10-15 발표),https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95091308,2026-09-03,"서울 마포구 · 10·15 대책 · 보도자료 기준, 관보 고시 대조 필요 · 보도자료 기준(ESTIMATED)"
11440,,투기과열지구,2025-10-16,,국토교통부 「주택시장 안정화 대책」 규제지역 지정 (2025-10-15 발표),https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95091308,2026-09-03,"서울 마포구 · 10·15 대책 · 보도자료 기준, 관보 고시 대조 필요 · 보도자료 기준(ESTIMATED)"
11470,,조정대상지역,2025-10-16,,국토교통부 「주택시장 안정화 대책」 규제지역 지정 (2025-10-15 발표),https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95091308,2026-09-03,"서울 양천구 · 10·15 대책 · 보도자료 기준, 관보 고시 대조 필요 · 보도자료 기준(ESTIMATED)"
11470,,투기과열지구,2025-10-16,,국토교통부 「주택시장 안정화 대책」 규제지역 지정 (2025-10-15 발표),https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95091308,2026-09-03,"서울 양천구 · 10·15 대책 · 보도자료 기준, 관보 고시 대조 필요 · 보도자료 기준(ESTIMATED)"
11500,,조정대상지역,2025-10-16,,국토교통부 「주택시장 안정화 대책」 규제지역 지정 (2025-10-15 발표),https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95091308,2026-09-03,"서울 강서구 · 10·15 대책 · 보도자료 기준, 관보 고시 대조 필요 · 보도자료 기준(ESTIMATED)"
11500,,투기과열지구,2025-10-16,,국토교통부 「주택시장 안정화 대책」 규제지역 지정 (2025-10-15 발표),https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95091308,2026-09-03,"서울 강서구 · 10·15 대책 · 보도자료 기준, 관보 고시 대조 필요 · 보도자료 기준(ESTIMATED)"
11530,,조정대상지역,2025-10-16,,국토교통부 「주택시장 안정화 대책」 규제지역 지정 (2025-10-15 발표),https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95091308,2026-09-03,"서울 구로구 · 10·15 대책 · 보도자료 기준, 관보 고시 대조 필요 · 보도자료 기준(ESTIMATED)"
11530,,투기과열지구,2025-10-16,,국토교통부 「주택시장 안정화 대책」 규제지역 지정 (2025-10-15 발표),https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95091308,2026-09-03,"서울 구로구 · 10·15 대책 · 보도자료 기준, 관보 고시 대조 필요 · 보도자료 기준(ESTIMATED)"
